,"d__Viruses,-__Retro_transcribing_viruses,f__Retroviridae,-__Spumaretrovirinae,g__Spumavirus,s__African_green_monkey_simian_foamy_virus","d__Viruses,-__Retro_transcribing_viruses,f__Retroviridae,-__Spumaretrovirinae,g__Spumavirus,s__Macaque_simian_foamy_virus","d__Viruses,-__Retro_transcribing_viruses,f__Retroviridae,-__Spumaretrovirinae,g__Spumavirus,s__Simian_foamy_virus","d__Viruses,-__Retro_transcribing_viruses,f__Retroviridae,-__unclassified_Retroviridae,-__Human_endogenous_retroviruses,s__Human_endogenous_retrovirus_K","d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_A","d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_B","d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_C","d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_D","d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_E","d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_F"
"d__Viruses,-__Retro_transcribing_viruses,f__Retroviridae,-__Spumaretrovirinae,g__Spumavirus,s__African_green_monkey_simian_foamy_virus",0.0,4.705616624002409e-05,0.0001981487247714213,1.8816268545784684e-05,0.0032003891050583658,0.0038751744804630685,0.0035200967295278586,0.0037126415444588825,0.003484388572767112,0.0029501101439149127
"d__Viruses,-__Retro_transcribing_viruses,f__Retroviridae,-__Spumaretrovirinae,g__Spumavirus,s__Macaque_simian_foamy_virus",9.41096754157295e-06,0.0,0.00013201942571549813,1.8815737482830638e-05,0.0032003891050583658,0.0038848977042011557,0.00351999375956785,0.0037126415444588825,0.0035232917890709635,0.0029501101439149127
"d__Viruses,-__Retro_transcribing_viruses,f__Retroviridae,-__Spumaretrovirinae,g__Spumavirus,s__Simian_foamy_virus",1.8830264000301283e-05,9.409727776575423e-06,0.0,1.881290565327815e-05,0.003190661478599222,0.003884859783892473,0.003529710017746056,0.003731999452900604,0.0035038405606144895,0.0029694323144104804
"d__Viruses,-__Retro_transcribing_viruses,f__Retroviridae,-__unclassified_Retroviridae,-__Human_endogenous_retroviruses,s__Human_endogenous_retrovirus_K",0.0007241810640759167,0.0007430608463368982,0.0009991234105925933,0.0,0.0032003891050583658,0.003855689826835601,0.00353949511003637,0.0037126415444588825,0.0034940805590528896,0.0029501101439149127
"d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_A",0.0007246104042761424,0.0007529270037269887,0.0010093101789403185,1.88254784024699e-05,0.0,0.0010344491070557237,0.0006916168247968985,0.0009174670102287811,0.00071209091352485,0.0003196992889112786
"d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_B",0.0007246104042761424,0.0007529270037269887,0.0009998962371829338,1.88254784024699e-05,0.000467699503069278,0.0,0.0006050079041355217,0.0005764646109352406,0.000233326852031888,0.00041814963922438104
"d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_C",0.0007246104042761424,0.0007529057456119713,0.0009998868052673283,1.882565560345639e-05,0.0003695671201968431,0.0008193283458345932,0.0,0.0006536776686146911,0.0004966307015152106,0.000426881918640187
"d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_D",0.0007246104042761424,0.0007529270037269887,0.0009998773735296616,1.88254784024699e-05,0.00047670934350313264,0.0005658039781872811,0.0005165641660412666,0.0,0.00037032344829602485,0.000465956083639117
"d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_E",0.0007246104042761424,0.0007623314165247099,0.0010093387416281482,1.88254784024699e-05,0.00044799376704324114,0.00041795454987266964,0.0005356551549504276,0.000546330803301399,0.0,0.0004859133713641532
"d__Viruses,-__dsDNA_viruses__no_RNA_stage,f__Adenoviridae,g__Mastadenovirus,s__Human_mastadenovirus_F",0.0007246104042761424,0.0007529270037269887,0.0009998962371829338,1.88254784024699e-05,0.0004850272100264825,0.0010927682160558872,0.0008176774067945099,0.0010927895404429702,0.0008481764206955047,0.0
