,Singapore.Serum.Encephalitis.SNIP-TTSH-041-LCL_Day1.20A20G.1:Singapore.SerumEncephalitis.SNIP-TTSH-041-LCL_Day14.20A20G.1
1,1.85
2,1.06
3,0
4,-1.15
5,0.28
6,-0.4
7,0
8,2.23
9,0.5
10,0.37
11,-0.17
12,-0.71
13,-1.14
14,0.47
15,-0.78
16,-0.11
17,0.05
18,0.74
19,-0.42
20,-0.01
21,-0.57
22,0
23,2.52
24,-0.59
25,0
26,1.65
27,0.05
28,0
29,0.72
30,1.06
31,-0.09
32,-0.12
33,-0.03
34,0.37
35,0.18
36,0.47
37,0.53
38,-0.4
39,0.21
40,-0.2
41,-0.11
42,0.4
43,1.11
44,-0.04
45,1.06
46,0.37
47,1
48,0
49,0.95
50,0.95
51,0.74
52,1.65
53,0
54,-0.73
55,-0.4
56,0.74
57,1.11
58,1.7
59,-0.03
60,0.35
61,-0.04
62,-0.21
63,1.48
64,-0.56
65,0.43
66,0.05
67,-0.4
68,0.77
69,-0.4
70,3.11
71,-0.41
72,-0.03
73,1.11
74,-0.03
75,-0.4
76,3.42
77,0.47
78,0.47
79,-0.62
80,0
81,-0.59
82,-0.59
83,3.99
84,0.73
85,0.09
86,-0.67
87,1.11
88,0.72
89,0.59
90,-0.28
91,1.06
92,-0.56
93,-0.09
94,0.37
95,-0.56
96,-0.58
97,-0.41
98,1.63
100,1.11
99,-0.13
101,0.16
102,-0.47
103,-0.11
104,-0.13
105,-0.32
106,0
107,-0.4
108,0.37
109,0
110,0.74
111,1.11
112,0.73
113,0.05
114,-0.25
115,-0.11
116,0
117,0.77
118,2.4
119,-0.58
120,0.74
121,0.18
122,-1
123,0.53
124,0.28
125,0
126,-0.4
127,0.95
128,1.48
129,-0.17
130,1.78
131,-0.56
132,-0.11
133,-0.11
134,0.74
135,-0.3
136,0.05
137,1.11
138,-0.41
139,-0.44
140,0
141,-0.4
142,0.18
143,0.59
144,0.37
145,-0.4
146,0.5
147,-0.25
148,0.74
149,1.18
150,1.63
151,-0.59
152,-0.01
153,0.43
154,0.88
155,-0.4
156,-0.95
157,0.18
158,-0.04
159,-0.57
160,-0.21
161,-0.17
162,1.85
163,-0.11
164,0.77
165,-0.17
166,-0.11
167,0
168,0.37
169,0.35
170,0.37
171,0.88
172,-0.17
173,1.11
174,0.47
175,0.35
176,0.74
177,0.37
178,-0.11
179,0.74
180,-0.11
181,-0.11
182,0.88
183,-0.4
184,0.53
185,0.47
186,1.85
84415,1.35
84416,-0.25
84417,0.35
84418,-0.44
84419,0.26
84420,-0.4
84421,1.94
84422,-0.21
84423,2.59
84424,0.74
84425,-0.73
187,0
188,0.37
189,-0.12
190,0.18
191,-0.59
192,0.22
193,-0.11
194,0.08
195,0
196,-0.4
197,0.74
198,0
199,1.11
200,-0.41
201,-0.56
202,-0.59
203,0.74
204,0
205,0
206,-0.17
207,-0.2
80388,1.37
80389,9.4
208,1.05
209,1.06
210,-0.03
211,0.53
212,-0.4
213,0.77
214,0.74
215,0.25
216,-0.21
217,-0.12
218,0.28
219,0.74
220,0.18
221,-0.3
222,-0.03
223,0
224,-0.4
225,0.5
226,1.11
227,0.18
228,-0.38
229,1.88
230,-0.3
231,0.05
232,-0.4
233,0.16
234,1.11
235,0.05
236,-0.56
237,-0.37
238,-0.73
239,0.74
240,-0.62
241,1.18
242,-0.13
243,0.37
244,0.91
245,-0.56
246,0.08
247,0.19
248,-0.36
249,0.5
250,0.77
251,-0.85
252,0.57
253,0.05
254,0.18
255,-0.21
256,-0.89
257,2.22
258,0.56
259,-0.62
260,-0.03
261,-0.67
262,2.23
263,-0.21
264,0.24
265,-0.4
266,1.94
267,0.37
268,1.65
269,-0.56
270,0.47
271,1.05
272,-0.21
273,0.16
274,1.09
275,-0.4
276,-0.62
277,0.16
278,1.06
279,-0.11
280,-0.34
281,0.91
282,-0.11
283,1.65
284,0.88
285,0.28
286,0.47
287,1.48
288,-0.42
289,0.16
290,0.72
291,0.47
292,0.28
293,0.37
294,0.74
295,-0.89
296,1.35
297,1.65
298,0.04
299,-0.17
300,1.35
301,0.4
302,0.47
303,0.88
304,0.35
305,-0.4
306,-0.25
307,0.5
308,0.72
309,0.18
310,0.4
311,-0.43
312,1.94
313,0.35
314,-0.57
315,0.91
316,0.77
317,3.69
318,0.47
319,-0.11
320,1.11
321,-0.25
322,0.18
323,0
324,-0.09
325,-0.4
326,1.4
327,0.47
328,0.24
329,1.35
330,2.17
331,-0.28
332,0.74
333,-0.17
334,-0.4
335,-0.42
336,-0.43
337,-0.62
338,-0.3
339,1.48
340,-0.57
341,0.35
342,-0.97
343,0
344,0
345,-0.62
346,-0.11
347,-0.23
348,0.77
349,0.37
350,-0.56
351,0.95
352,0.28
353,-0.21
354,0.37
355,0
356,1.09
357,-0.69
358,0.16
359,-0.91
360,0
361,0.18
362,0.56
363,0.73
364,0.47
365,2.96
366,-0.09
367,-0.21
368,0.77
369,-0.4
370,0
371,0.3
372,0.5
373,-0.03
374,0.37
375,0.5
376,-0.25
377,-0.4
378,1.35
379,-0.4
380,-0.65
381,-0.11
382,-0.28
383,-0.4
384,-0.09
385,-0.28
386,0
387,0
388,1.49
87372,0.01
87373,-0.17
87374,-0.4
87375,-0.42
87376,1.35
87377,1.06
87378,-0.4
87379,1.48
87380,0.05
87381,0.53
87382,0.74
87383,0.18
87384,0
87385,1.09
87386,0.26
87387,-0.41
87388,-0.71
87389,0.05
87390,-0.11
87391,0
87392,-0.77
87393,-0.4
87394,0
92814,-0.25
92815,-0.17
389,1.11
390,0.16
391,2.22
392,0.16
393,-0.62
394,0.74
395,0.89
396,0.22
397,-0.2
398,0
399,0
400,2.52
401,0.73
402,0.73
403,0.4
404,1.35
405,0.73
406,0.18
407,-0.11
408,1.35
409,-0.21
410,0.28
411,0.05
412,1.06
413,0.37
414,-0.97
415,-0.38
416,0.37
417,-0.11
418,0.47
419,-0.57
420,-0.45
421,1.94
422,-0.04
423,0.56
424,0
425,-0.28
426,0.87
427,-0.03
428,0.74
429,0.37
430,1.4
431,-0.43
432,2.23
433,-0.13
434,0.28
435,0.74
436,-0.57
437,-0.62
438,0.18
439,0.16
440,1.11
441,0.91
442,-0.69
443,0.74
444,-0.21
445,-0.21
446,-0.4
447,-0.09
448,-0.13
449,-0.03
450,0.56
451,1.65
452,0.47
453,0
454,-0.17
455,1.47
456,-0.65
457,0.05
458,2.22
459,-0.4
460,0.37
461,0.06
462,1.28
463,0.16
464,-0.59
465,1.94
466,0.44
467,0.08
468,1.11
469,0.47
470,0.18
471,0.37
472,1.85
473,3.2
83556,-0.12
83557,1.16
83558,0.18
83559,0.77
83560,0.04
83561,-0.25
83562,1.28
83563,-0.17
83564,1.48
83565,1.48
83566,0.4
83567,0.05
85555,0.99
85556,0.53
85557,0.18
85558,0.37
85559,-0.11
85560,1.09
85561,-0.4
85562,-1.14
85563,0.16
85564,-0.82
82934,1.63
82935,0.88
82936,-0.11
82937,0
82938,0.37
82939,-0.71
82940,2.96
91697,0.37
91698,-0.62
91699,0.08
91700,0.05
91701,0.35
91702,-0.4
91703,0.73
91704,1.11
91705,0.37
91706,0.51
91707,-0.82
91708,-0.44
91709,0.67
82504,-0.24
82505,-0.56
82506,0.44
82507,0.16
82508,-0.44
82509,1.11
82510,0.37
82511,-0.21
82512,0.35
82513,-0.4
82514,0.77
82515,0.26
82516,1.35
82517,0.5
82518,-0.23
82519,-0.44
82520,0.09
82521,-0.89
82522,-0.11
82523,0.3
82524,1.48
82525,0.4
82526,-0.56
82527,1.48
82528,1.09
82529,0.05
82530,1.48
82531,0.05
82532,-0.56
82533,-0.4
82534,0.37
82535,-0.14
82536,0.24
82537,0.24
82538,0.18
82539,0.61
82540,1.06
82541,-0.56
82542,0.44
82543,0.05
82544,1.35
82545,0.5
82546,-0.17
82547,0.91
82548,-0.4
82549,-0.03
82550,0.73
82551,-0.45
82552,0.53
82553,0.24
82554,-0.46
82555,1.21
82556,0.18
82557,-0.62
82558,0
82559,0.73
82560,-0.11
82561,0.72
82562,0
82563,0.28
82564,0.08
82565,-0.11
82566,1.11
474,0.28
475,-0.4
476,-0.17
93180,-0.2
93181,0.61
93182,-0.08
93183,-0.56
93184,0.5
93185,-0.62
93151,0.37
93152,0.31
93153,0.37
93072,3.26
93073,0.73
93200,-0.23
93201,0.77
93202,0.74
93129,-0.4
93130,0.05
477,-0.59
478,0.74
479,-0.17
480,-0.56
481,0.32
482,-0.41
483,-0.41
484,-0.45
485,0.3
486,-0.59
487,-0.2
488,0.05
489,1.7
490,0
491,0
492,-0.77
493,0.73
494,-0.91
495,0.28
496,-0.4
497,0.08
498,0.35
499,-0.21
500,0.4
501,0.88
502,0.08
503,0.18
504,0.16
505,2.31
506,0.5
507,0.05
508,1.35
509,0
510,0.37
511,0.74
512,1.85
513,-0.57
514,-0.37
515,-0.56
516,-0.04
517,-0.56
518,1.18
519,0.05
520,-0.57
521,-0.4
522,-0.4
523,-0.57
524,-0.65
525,-0.11
526,-0.3
527,0.35
528,0.77
529,1.48
530,0.16
531,0
532,0.47
81296,0.73
81297,0.01
81298,0.59
81299,0.44
81300,-0.13
81301,0.37
81302,2.95
81303,0
82873,-0.4
82874,0.95
82770,-0.56
82771,-0.21
82772,2.18
82773,-0.44
83914,0.5
83915,0.24
84197,-0.03
84198,0.54
84924,-0.56
84925,1.11
84926,-0.17
84927,1.85
91375,-0.28
91376,0.22
91377,-0.4
91378,-0.85
91379,1.65
91380,3.7
91381,-0.41
91382,0.18
91383,-0.57
85072,0.72
85073,-0.17
85352,-0.4
85353,0.09
85354,-0.08
85355,0.35
85356,0.18
85357,-1.03
85358,-0.17
85359,1.11
85360,0.37
85361,-0.57
85362,0.3
81410,-0.4
81411,0.37
81412,-0.4
81413,2.23
81414,0
81415,-1.14
81416,1.06
81417,0.05
81418,-0.22
81419,0.18
81420,0.18
82789,0.37
82790,2.22
83346,0.74
83347,-0.28
83348,-0.59
91442,-0.4
91443,0.72
91444,-0.91
91445,0.59
91446,0.18
91447,0.24
91448,0
91449,0.16
91450,0.37
91451,0.16
91452,0.05
85077,0.08
85078,-0.41
81032,-0.11
81033,-0.5
81034,0
81035,0.05
81036,-0.45
81037,-0.91
81038,2.52
81039,0.28
81040,-0.11
81041,0.5
82846,0.05
82847,0.95
82848,-0.4
82737,-0.11
82738,-0.39
82739,0.08
82740,0.35
82741,-0.29
83761,0.37
83762,0
83763,1.11
83764,-0.43
83765,0.25
83766,0.13
83767,-0.17
83768,-0.57
83769,1.11
83770,-0.28
83771,0.47
83772,-0.32
83773,-0.25
83774,1.11
83775,-0.21
83776,0.73
83077,-0.91
83078,0.37
83079,-0.13
83080,0.08
83081,0.59
83082,-0.2
83083,-0.85
83084,-0.42
83085,0.44
83086,3.33
83087,0.28
83088,0.18
83089,0
83090,0.37
83610,0.5
83611,-0.11
83612,-0.4
83613,1.11
84132,0.5
84133,-0.56
84134,1.4
84135,2.22
84136,0
84137,-0.35
84138,0.28
84838,0.43
84839,0.74
84840,-0.03
84841,-0.13
84842,0.05
84843,1.06
84844,2.22
84853,-0.56
91229,-0.41
91230,0.5
91231,0.21
91232,1.94
91233,0.35
91234,0.37
91235,-0.4
91236,0.37
91237,0.77
91238,-0.56
91239,0.37
91240,0
91241,-0.03
91242,0.73
91243,0.74
91244,-1.17
91245,-0.25
91246,0.37
91247,1.06
91248,0.18
91249,-0.11
85056,-0.27
85057,1.47
