pep_id,Singapore.SerumEncephalitis.SNIP-TTSH-041-LCL_Day14.20A20G.1
1,1.4
2,0.1
3,-0.4
4,-1.5
5,-0.9
6,-0.7
7,-0.4
8,1.2
9,1.7
10,-0.5
11,0.4
12,-0.4
13,-1.4
14,-0.3
15,-1
16,-0.6
17,-0.1
18,-0.1
19,-0.6
20,2.1
21,-1.5
22,-0.3
23,1.1
24,-1.1
25,-1
26,0.7
27,-0.5
28,-0.4
29,0.7
30,0.5
31,0
32,-0.2
33,-0.9
34,0.1
35,-0.7
36,0.4
37,1.7
38,-0.9
39,1
40,0.2
41,-1.4
42,-0.2
43,-0.4
44,-1
45,0.8
46,0.1
47,0.9
48,-0.5
49,0.3
50,0.8
51,-0.4
52,0.8
53,-0.5
54,-1
55,-1.3
56,0.6
57,-0.4
58,3.9
59,-0.9
60,0.2
61,0.4
62,-0.4
63,-1
64,-0.9
65,0.1
66,-0.5
67,-1.2
68,0.9
69,0.5
70,1
71,-0.4
72,-1.2
73,1
74,1
75,-1.3
76,2.6
77,-0.1
78,1
79,-0.9
80,0.2
81,-1.1
82,-0.8
83,0.6
84,-0.7
85,-0.4
86,-1
87,-0.4
88,1.6
89,3.8
90,-0.3
91,-0.3
92,-0.3
93,0.3
94,-0.3
95,-0.3
96,0.1
97,-0.6
98,2.5
100,-0.3
99,0.6
101,-0.1
102,0.5
103,-0.3
104,0.4
105,0.8
106,-0.4
107,-0.4
108,-0.5
109,-0.4
110,0.1
111,0.5
112,-0.4
113,-0.6
114,-0.2
115,-1.5
116,-1.2
117,0.4
118,4.5
119,-0.5
120,-0.3
121,-0.7
122,-1.1
123,0.3
124,-0.8
125,-0.6
126,-0.1
127,0.7
128,-0.7
129,0.2
130,2.4
131,-0.7
132,-0.6
133,-0.1
134,-0.2
135,1.1
136,0
137,0.1
138,0
139,0
140,-0.4
141,-1.2
142,-0.8
143,0.7
144,-0.5
145,-0.2
146,-0.6
147,0.4
148,0.2
149,0.8
150,1.5
151,-0.3
152,1.3
153,2.6
154,1.6
155,-0.7
156,-0.3
157,-0.6
158,0
159,-0.4
160,-0.5
161,-0.9
162,1.4
163,0.1
164,0.5
165,-0.6
166,-0.2
167,-0.3
168,-0.7
169,2
170,0.1
171,1.6
172,-0.2
173,0.5
174,0.3
175,0.2
176,0.5
177,0
178,-0.9
179,0.6
180,-0.5
181,-0.7
182,0.8
183,-1.3
184,-0.1
185,0.5
186,-0.6
84415,0.7
84416,0.2
84417,-0.9
84418,-0.5
84419,1.1
84420,-0.7
84421,2.2
84422,-0.1
84423,0.3
84424,0.1
84425,-0.9
187,-0.8
188,-0.4
189,1.5
190,0.1
191,-0.7
192,1.6
193,-0.3
194,-0.8
195,-0.4
196,-0.7
197,0.5
198,-0.4
199,0.1
200,-0.6
201,-0.8
202,-0.5
203,0.8
204,-0.4
205,-0.4
206,-1.1
207,0.8
80388,4.3
80389,616.2
208,1.5
209,-0.6
210,0.1
211,0
212,-0.6
213,-0.4
214,0.1
215,0.8
216,-0.8
217,1
218,0.3
219,-1.2
220,-0.5
221,-1.2
222,-0.5
223,-0.8
224,-0.4
225,0.4
226,0.7
227,-0.3
228,0.5
229,2.2
230,0.5
231,-0.6
232,-1
233,-0.5
234,0.1
235,-0.9
236,-0.9
237,-0.9
238,-0.5
239,-0.6
240,-1
241,0.6
242,0.4
243,-0.3
244,1.5
245,-0.9
246,-0.3
247,14.3
248,13
249,-0.9
250,-1
251,-0.7
252,-0.3
253,-0.6
254,-0.7
255,-0.7
256,-0.9
257,0.8
258,1
259,-0.7
260,0.6
261,-0.3
262,0.2
263,-0.2
264,-0.2
265,-0.7
266,0.2
267,0.1
268,0.7
269,-0.1
270,0.2
271,0.2
272,-0.9
273,0.2
274,1.8
275,-0.3
276,-1
277,-0.5
278,0.7
279,-1.5
280,-0.1
281,0.2
282,-0.2
283,0.6
284,0.4
285,0.2
286,0.8
287,0.9
288,-1.1
289,0.4
290,0.4
291,0.2
292,-0.4
293,-0.6
294,0.1
295,-1.1
296,0.4
297,1.1
298,-0.1
299,-1.4
300,0
301,0.1
302,-0.6
303,0.3
304,-0.1
305,-1.1
306,-0.3
307,0
308,0.6
309,-0.1
310,-0.5
311,-0.5
312,1.3
313,1
314,-0.1
315,1.1
316,0.2
317,2.5
318,0.8
319,-1.1
320,0.5
321,-0.5
322,-0.1
323,-0.8
324,0.6
325,-0.8
326,0
327,0.3
328,0.1
329,0.9
330,1.4
331,-0.3
332,-0.5
333,-0.8
334,-0.8
335,-0.3
336,-0.7
337,-1.1
338,0
339,0.7
340,-0.2
341,-0.5
342,-0.8
343,-0.9
344,-0.3
345,-1
346,0.1
347,-0.4
348,0.6
349,-0.2
350,-0.6
351,0.7
352,0.4
353,-0.1
354,0.1
355,-0.4
356,2.3
357,-0.2
358,2.9
359,-0.6
360,-0.4
361,0.5
362,1.7
363,1.5
364,-0.1
365,0.7
366,0.9
367,-0.6
368,0
369,0.2
370,-0.8
371,1.8
372,0.4
373,0.4
374,-0.4
375,-0.8
376,0.2
377,-1.4
378,0.4
379,-0.9
380,-0.9
381,-0.6
382,0
383,-0.4
384,0.1
385,-0.3
386,-0.7
387,-0.5
388,6.5
87372,1.1
87373,0.7
87374,-0.9
87375,-0.7
87376,0.8
87377,1.4
87378,-0.5
87379,0.7
87380,-0.9
87381,-0.2
87382,0.3
87383,0.5
87384,-0.4
87385,0.1
87386,0
87387,-0.6
87388,-0.5
87389,-0.8
87390,0.7
87391,-0.4
87392,-0.6
87393,-0.7
87394,-1
92814,-0.2
92815,-1
389,-0.6
390,4.4
391,2.3
392,0.1
393,-1.6
394,-1
395,33
396,30.1
397,0.7
398,-0.4
399,-0.7
400,1
401,1.4
402,0.1
403,0
404,-0.2
405,0
406,0.1
407,-0.6
408,0.3
409,-0.8
410,0
411,0.6
412,0.4
413,-0.1
414,0.7
415,0.2
416,-1.3
417,-0.1
418,-0.7
419,-1.2
420,-0.9
421,1
422,0.1
423,1.2
424,-0.4
425,-1.2
426,1.2
427,-0.3
428,-0.2
429,-0.1
430,0.1
431,-0.3
432,0.4
433,0.2
434,2.1
435,0.1
436,-1.1
437,-1
438,1
439,0.7
440,-0.2
441,0.6
442,-0.8
443,0
444,-0.4
445,0.2
446,-0.7
447,0.4
448,-1
449,0.2
450,0.5
451,0.7
452,-0.3
453,-0.7
454,-0.2
455,1.4
456,0.9
457,-0.2
458,0.6
459,-0.4
460,-0.3
461,-0.5
462,1.4
463,0.2
464,-0.5
465,-0.4
466,-0.5
467,-0.5
468,0.5
469,-1.2
470,0.4
471,-0.9
472,0.2
473,5
83556,0
83557,0
83558,0.7
83559,0.5
83560,-0.6
83561,1.1
83562,1.5
83563,-0.7
83564,0.6
83565,0.5
83566,2.5
83567,-0.8
